city,neighborhood,population_density,services_count,competitors_count,latitude,longitude,id
Khamis Mushait,حي الرصراص 1,5200,40,31,18.3104,42.7332,78
Khamis Mushait,حي النهضة,5200,43,32,18.3082,42.7353,79
Khamis Mushait,حي الفتح,5200,45,30,18.3104,42.7374,80
Khamis Mushait,حي شباعه,5200,48,28,18.3126,42.7395,81
Khamis Mushait,حي المعزاب,5200,47,28,18.3148,42.7416,82
Khamis Mushait,حي المثناة,5200,46,25,18.317,42.7437,83
Khamis Mushait,حي المعمورة,5200,35,31,18.306,42.729,84
Khamis Mushait,حي النسيم,3800,48,53,18.3082,42.7311,85
Khamis Mushait,حي شكر,3800,40,31,18.3104,42.7332,86
Khamis Mushait,حي النزهة,3800,57,50,18.3126,42.7353,87
Khamis Mushait,حي عتود,3800,45,28,18.3148,42.7374,88
Khamis Mushait,حي ال هميلة,3800,46,27,18.317,42.7395,89
Khamis Mushait,حي العرق الجنوبي,3800,46,29,18.306,42.7416,90
Khamis Mushait,حي الصقور,3800,48,27,18.3082,42.7437,91
Khamis Mushait,حي البوادي,3800,37,28,18.3104,42.729,92
Khamis Mushait,حي النخيل,3800,39,28,18.3126,42.7311,93
Abha,حي التعاون,3200,54,51,18.2244,42.5073,94
Abha,حي النسيم,4500,48,53,18.2244,42.5093,95
Abha,حي الاندلس,4500,15,22,18.2164,42.5113,96
Abha,حي الصفا,3200,20,23,18.2184,42.5153,97
Abha,حي ج 35,3200,21,19,18.2204,42.5173,98
Abha,حي المقضى,3200,10,21,18.2224,42.5053,99
Khamis Mushait,حي القافلة,3800,48,28,18.3126,42.7395,100
Khamis Mushait,حي مخطط الموسى,3800,47,28,18.3148,42.7416,101
Khamis Mushait,حي سكن القاعدة الجوية,3800,46,25,18.317,42.7437,102
Khamis Mushait,حي الرونه,3800,35,31,18.306,42.729,103
Khamis Mushait,حي الشفاء,3800,50,54,18.3082,42.7311,104
Khamis Mushait,حي ذلالة,3800,40,31,18.3104,42.7332,105
Khamis Mushait,حي الرصراص 2,3800,45,29,18.3126,42.7353,106
Khamis Mushait,حي سكن المدينة العسكرية,3800,45,28,18.3148,42.7374,107
Khamis Mushait,حي سكن مجموعة اللواء الرابع عشر,3800,46,27,18.317,42.7395,108
Khamis Mushait,حي الجامعيين,3800,46,29,18.306,42.7416,109
Khamis Mushait,حي شعب ذهبان,3800,47,28,18.3148,42.7416,110
Khamis Mushait,حي الوسام,3800,48,27,18.3082,42.7437,111
Khamis Mushait,حي اليرموك,3800,37,28,18.3104,42.729,112
Khamis Mushait,حي الحرابى,3800,39,28,18.3126,42.7311,113
